,added_date,event_date,title,votes,confidence
0,2021-04-02,2021-04-02,ORN/ADA Partnership,130,0.94
1,2021-01-11,2021-03-31,AdaPay on Shelley MainNet,8953,0.95
2,2021-03-05,2021-03-31,Decentralized Block Gen,5493,0.94
3,2021-03-21,2021-03-25,Cardano360 Update,1605,0.95
4,2021-03-12,2021-03-22,Coineal Listing,3420,0.93
5,2021-03-16,2021-03-18,Coinbase Pro Listing,2044,0.96
6,2021-03-17,2021-03-18,Blockchain Africa,232,0.9
7,2021-03-18,2021-03-18,Bybit Listing,65,0.91
8,2021-02-24,2021-03-17,BitMEX Listing,4107,0.94
9,2021-03-16,2021-03-16,Swipe Listing,114,0.96
10,2021-03-08,2021-03-10,BitMEX Listing,636,0.93
11,2021-02-18,2021-03-01,Mary Hard Fork,3500,0.94
12,2021-02-27,2021-02-27,AEX Listing,0,
13,2021-02-22,2021-02-23,Cardano Meeup,96,0.96
14,2021-02-10,2021-02-10,Binance Staking,0,
15,2021-02-05,2021-02-05,BitMart Listing,13,0.92
16,2021-01-21,2021-01-28,N. American Bitcoin CON,148,0.8
17,2021-01-23,2021-01-26,Virtual Meetup,181,0.92
18,2020-12-25,2020-12-25,Binance QTLY Contract,7,0.86
19,2020-10-31,2020-12-11,Pre-production Env,182,0.91
20,2020-12-10,2020-12-10,IOHK/BONDLY Partnership,0,
21,2020-11-18,2020-12-06,Delegation Methodology,164,0.9
22,2020-11-20,2020-11-20,Huobi USDT-Margined Swaps,1,1.0
23,2020-11-12,2020-11-12,Gate.io Listing,1,1.0
24,2020-11-09,2020-11-09,ADA/ERGO Oracles Update,0,
25,2020-11-03,2020-11-05,Hong Kong Meetup,8,0.88
26,2020-10-30,2020-10-30,October Updates,0,
27,2020-10-30,2020-10-30,InputOutputHK Collaborate,0,
28,2020-10-23,2020-10-28,Chicago Meetup,32,0.78
29,2020-10-27,2020-10-27,Voyager Listing,0,
30,2020-10-23,2020-10-23,Binance High-Yield,5,0.8
31,2020-10-23,2020-10-23,Stake Pool Re-delegations,1,1.0
32,2020-09-30,2020-09-30,IOHK/AGI Collaboration,0,
33,2020-08-30,2020-08-30,Online Meetup,19,0.84
34,2020-08-19,2020-08-27,Product Update,161,0.93
35,2020-08-25,2020-08-25,EMURGO/Bidali Partnership,4,1.0
36,2020-08-20,2020-08-23,Shelley Staking Rewards,365,0.98
37,2020-06-22,2020-08-18,Staking Rewards,781,0.95
38,2020-08-06,2020-08-06,Bitfinex Listing,0,
39,2020-07-31,2020-07-31,Huobi ADA/USD Futures,9,0.89
40,2020-05-30,2020-07-29,Shelley Hardfork,885,0.94
41,2020-07-23,2020-07-23,Half Year Recap,0,
42,2020-07-22,2020-07-22,Lykke/Cardano Partnership,0,
43,2020-07-15,2020-07-16,Binance UP/DOWN Listing,19,0.95
44,2020-06-26,2020-07-15,Asia Blockchain Summit,214,0.96
45,2020-07-12,2020-07-14,Off the Charts Conference,48,0.9
46,2020-07-08,2020-07-08,Community Newsletter,2,1.0
47,2020-05-29,2020-06-30,Shelley Code Release,410,0.94
48,2020-06-30,2020-06-30,Online Meetup,7,1.0
49,2020-06-05,2020-06-09,Crypto.com Listing,136,0.81
50,2020-06-09,2020-06-09,Shelley Testnet Launch,16,0.88
51,2020-06-02,2020-06-02,Virtual Summit,0,
52,2020-05-25,2020-05-28,Live Product Team Update,96,0.73
53,2020-04-24,2020-04-24,Huobi USD Pairs,3,1.0
54,2020-02-20,2020-04-02,Shelley Mainnet Launch,164,0.86
55,2020-03-27,2020-03-31,Development Update,19,0.89
56,2020-03-12,2020-03-12,Cardano Update,1,1.0
57,2020-03-02,2020-03-07,Tokyo Meetup,23,0.87
58,2020-02-20,2020-02-29,Perth Meetup,35,0.89
59,2020-02-26,2020-02-28,Ohio Meetup,8,0.88
60,2020-01-27,2020-02-20,Hard Fork,205,0.93
61,2020-02-16,2020-02-18,Plovdiv Meetup,7,0.86
62,2020-02-12,2020-02-15,Tokyo Meetup,15,0.93
63,2020-02-10,2020-02-13,London Meetup,18,1.0
64,2019-12-19,2020-02-05,Blockchain for Europe,110,0.94
65,2020-01-30,2020-01-31,Binance ADA/USDT Futures,7,0.86
66,2020-01-21,2020-01-25,Port Harcourt Meetup,21,0.95
67,2020-01-16,2020-01-23,CV Summit Davos 2020,16,0.88
68,2020-01-16,2020-01-22,London Meetup,19,1.0
69,2019-12-17,2019-12-21,Tokyo Meetup,11,0.7
70,2019-12-20,2019-12-20,Croatia Meetup,2,1.0
71,2019-12-13,2019-12-14,Stockholm Meet & Greet,3,1.0
72,2019-12-06,2019-12-07,Tokyo Meetup,0,
73,2019-11-29,2019-11-29,Testnet Balance Snapshot,4,0.75
74,2019-11-07,2019-11-23,Greece Meetup,18,0.83
75,2019-07-30,2019-11-21,Meetup Netherlands (AMS),86,0.98
76,2019-11-13,2019-11-14,Tokyo Meetup,10,1.0
77,2019-11-09,2019-11-09,Croatia Meetup,5,1.0
78,2019-08-26,2019-10-25,Dominican Republic Meetup,54,0.93
79,2019-08-06,2019-10-23,WBS Dubai,63,1.0
80,2019-10-13,2019-10-17,Seoul Meetup,16,0.75
81,2019-10-17,2019-10-17,New Balance Partnership,0,
82,2019-10-12,2019-10-16,Washington D.C. Meetup,5,1.0
83,2019-10-11,2019-10-15,NYC Meetup,10,1.0
84,2019-07-29,2019-10-01,Amsterdam Meetup,42,0.95
85,2019-09-06,2019-09-28,Cardano 2nd Anniversary,42,0.96
86,2019-08-06,2019-09-26,Washington DC Meetup,54,0.94
87,2019-09-04,2019-09-21,Croatia Meetup,20,0.95
88,2019-09-21,2019-09-21,Testnet Newsletter,0,
89,2019-08-23,2019-09-19,Wyoming Hackathon,36,0.99
90,2019-08-16,2019-08-22,Berlin Cardano Meetup,12,0.75
91,2019-08-16,2019-08-20,BlockBatam Conference,11,1.0
92,2019-08-07,2019-08-07,Progress Report,2,1.0
93,2019-07-10,2019-07-30,HongKong Community Meetup,41,0.88
94,2019-07-03,2019-07-29,SPOT Conference,30,0.93
95,2019-07-24,2019-07-29,Testnet Genesis Block,25,0.92
96,2019-07-17,2019-07-28,Tokyo Meetup,24,0.92
97,2019-07-03,2019-07-25,World Blockchain Summit,47,0.89
