,added_date,event_date,title,votes,confidence
0,2021-04-09,2021-04-09,PoolX LTC/BNB Mining,15,0.8
1,2021-04-06,2021-04-06,Paypal Payments,73,0.93
2,2021-02-04,2021-03-15,MimbleWimble Code Review,3521,0.94
3,2021-01-04,2021-01-04,CoinFLEX Listing,0,
4,2021-01-04,2021-01-04,CoinFLEX Listing,0,
5,2020-12-25,2020-12-25,Binance QTLY Contract,7,0.86
6,2020-11-24,2020-11-25,Binance Options Listing,15,0.73
7,2020-11-11,2020-11-12,USDT-Margined Swaps 75x,6,1.0
8,2020-11-11,2020-11-11,Huobi USDT-Margined Swaps,2,1.0
9,2020-08-02,2020-09-30,Testnet Launch,422,0.92
10,2020-09-15,2020-09-16,Binance UP/DOWN Listing,8,0.5
11,2020-08-02,2020-08-02,Dev Update,3,1.0
12,2020-07-06,2020-07-09,Paxos Listing,7,0.86
13,2020-06-11,2020-06-11,Litecoin Core v0.18.1,3,1.0
14,2019-12-11,2020-01-29,Crypto 2020 Summit,120,0.88
15,2019-03-13,2019-11-14,BlockShow Asia 2019,804,0.84
16,2019-10-03,2019-10-28,Litecoin Summit,23,0.91
17,2019-08-22,2019-09-30,AvantPay|19,6,0.83
18,2019-09-16,2019-09-20,"Coinvention, Philadelphia",5,0.8
19,2018-09-05,2019-08-06,Block Reward Halving,797,0.93
20,2019-05-08,2019-05-08,Litecoin Core v0.17.1,3,1.0
21,2019-04-24,2019-05-01,Euro & GBP Trading Pairs,25,0.88
22,2019-04-18,2019-04-23,Blockchain Life Asia,21,0.95
23,2019-01-22,2019-04-09,Crypto Invest Summit,89,0.9
24,2019-03-28,2019-03-27,Airbnb Vouchers,3,0.33
25,2019-02-26,2019-03-13,Token 2049,179,0.92
26,2018-10-11,2019-01-14,Second Blockchain Week,637,0.91
27,2018-07-21,2018-12-31,EFIN Token Distribution,479,0.89
28,2018-10-26,2018-11-27,Asia Blockchain Week 2018,31,0.84
29,2018-04-03,2018-10-31,World Crypto Conference,34,0.82
30,2018-09-24,2018-10-13,Gemini Listing,161,0.91
31,2018-04-01,2018-09-14,Global Litecoin Summit,456,0.93
32,2018-05-09,2018-05-11,Coinbit Listings,316,0.89
33,2018-04-15,2018-04-21,LTC Private Hard Fork,531,0.72
34,2018-04-17,2018-04-18,Korbit Listing,79,0.91
35,2018-03-30,2018-04-13,Smart Contracts,273,0.9
36,2018-03-11,2018-03-12,Meetup With Charlie Lee,54,0.93
37,2018-03-04,2018-03-08,New Token Listings,125,0.93
38,2018-01-29,2018-03-01,Monthly UBTC Airdrop,157,0.92
39,2018-02-28,2018-02-28,Bitbns Listing,28,0.89
40,2018-01-04,2018-02-26,LitePay,2304,0.95
41,2018-02-04,2018-02-18,LCC Hard Fork,2488,0.34
42,2018-01-10,2018-02-16,Bitcoin Superconference,300,0.8
43,2018-01-11,2018-02-11,Closing Basemarkets,673,0.55
44,2018-02-04,2018-02-04,LitePal Payment Processor,32,0.91
45,2018-02-04,2018-02-04,Track LTC On Robinhood,18,0.89
46,2017-12-16,2018-01-26,Blockchain Connect,236,0.72
47,2018-01-25,2018-01-25,Litecoin Added to Zebpay,6,0.83
48,2018-01-24,2018-01-24,Livestream with MLPFrank,18,0.89
49,2017-12-24,2018-01-11,Listing on DMM - Japan,274,0.75
50,2017-12-29,2017-12-31,Listing on SCExchange,53,0.6
51,2017-12-25,2017-12-27,Lesfex Listing,379,0.85
52,2017-12-15,2017-12-19,YouTube Livestream,269,0.86
53,2017-12-07,2017-12-11,Charlie Lee on CNBC,306,0.9
