date,tweet_volume,trend,days_to_event_happen,event_title,event_votes,event_confidence
2014-04-09,8193.0,11.193,,,,
2014-04-10,15039.0,13.854,,,,
2014-04-11,14907.0,12.997,,,,
2014-04-12,7582.0,9.229,,,,
2014-04-13,10674.0,10.385,,,,
2014-04-14,13266.0,10.754,,,,
2014-04-15,14835.0,11.053,,,,
2014-04-16,15790.0,12.189,,,,
2014-04-17,15215.0,11.471,,,,
2014-04-18,14028.0,9.946,,,,
2014-04-19,12337.0,9.389,,,,
2014-04-20,12139.0,8.511,,,,
2014-04-21,14244.0,9.159,,,,
2014-04-22,16098.0,9.319,,,,
2014-04-23,16232.0,10.176,,,,
2014-04-24,15471.0,9.967,,,,
2014-04-25,15255.0,9.458,,,,
2014-04-26,12283.0,8.142,,,,
2014-04-27,11667.0,8.601,,,,
2014-04-28,15969.0,9.319,,,,
2014-04-29,16706.0,8.581,,,,
2014-04-30,17588.0,9.688,,,,
2014-05-01,16988.0,9.341,,,,
2014-05-02,20057.0,7.947,,,,
2014-05-03,12910.0,7.389,,,,
2014-05-04,12716.0,7.25,,,,
2014-05-05,21273.0,9.202,,,,
2014-05-06,16806.0,8.644,,,,
2014-05-07,16970.0,8.226,,,,
2014-05-08,21518.0,8.086,,,,
2014-05-09,17442.0,9.202,,,,
2014-05-10,14225.0,6.971,,,,
2014-05-11,13469.0,7.111,,,,
2014-05-12,15910.0,7.25,,,,
2014-05-13,16935.0,8.365,,,,
2014-05-14,18167.0,8.086,,,,
2014-05-15,32817.0,7.668,,,,
2014-05-16,14474.0,8.784,,,,
2014-05-17,14587.0,7.529,,,,
2014-05-18,12892.0,7.25,,,,
2014-05-19,13595.0,7.529,,,,
2014-05-20,21515.0,8.784,,,,
2014-05-21,20254.0,9.202,,,,
2014-05-22,20217.0,9.76,,,,
2014-05-23,19485.0,9.062,,,,
2014-05-24,13630.0,7.947,,,,
2014-05-25,13823.0,8.784,,,,
2014-05-26,14792.0,10.457,,,,
2014-05-27,19718.0,9.202,,,,
2014-05-28,18545.0,10.038,,,,
2014-05-29,17571.0,10.038,,,,
2014-05-30,21731.0,10.038,,,,
2014-05-31,12882.0,9.062,,,,
2014-06-01,12849.0,9.899,,,,
2014-06-02,16427.0,8.923,,,,
2014-06-03,17858.0,10.875,,,,
2014-06-04,18010.0,9.202,,,,
2014-06-05,18707.0,9.202,,,,
2014-06-06,16611.0,8.365,,,,
2014-06-07,12557.0,7.668,,,,
2014-06-08,12134.0,7.529,,,,
2014-06-09,14497.0,6.553,,,,
2014-06-10,16631.0,8.923,,,,
2014-06-11,19356.0,9.202,,,,
2014-06-12,19092.0,10.038,,,,
2014-06-13,19128.0,10.875,,,,
2014-06-14,16078.0,9.062,,,,
2014-06-15,15810.0,8.923,,,,
2014-06-16,18430.0,9.341,,,,
2014-06-17,18560.0,9.76,,,,
2014-06-18,15957.0,9.202,,,,
2014-06-19,17605.0,8.784,,,,
2014-06-20,17459.0,7.808,,,,
2014-06-21,15113.0,6.971,,,,
2014-06-22,13838.0,7.668,,,,
2014-06-23,16325.0,6.832,,,,
2014-06-24,17005.0,7.111,,,,
2014-06-25,17683.0,6.692,,,,
2014-06-26,17534.0,6.832,,,,
2014-06-27,17587.0,8.505,,,,
2014-06-28,15236.0,6.971,,,,
2014-06-29,15482.0,7.389,,,,
2014-06-30,19860.0,8.784,,,,
2014-07-01,20443.0,8.806,,,,
2014-07-02,21375.0,9.429,,,,
2014-07-03,22046.0,8.425,,,,
2014-07-04,22659.0,7.513,,,,
2014-07-05,16997.0,6.56,,,,
2014-07-06,17331.0,7.532,,,,
2014-07-07,22248.0,8.615,,,,
2014-07-08,24425.0,8.016,,,,
2014-07-09,24542.0,7.314,,,,
2014-07-10,23242.0,8.067,,,,
2014-07-11,20939.0,7.746,,,,
2014-07-12,16719.0,6.993,,,,
2014-07-13,16133.0,6.672,,,,
2014-07-14,20287.0,7.211,,,,
2014-07-15,25031.0,7.802,,,,
2014-07-16,21984.0,8.657,,,,
2014-07-17,23305.0,8.815,,,,
2014-07-18,25897.0,8.206,,,,
2014-07-19,20261.0,8.513,,,,
2014-07-20,16827.0,8.174,,,,
2014-07-21,18501.0,8.095,,,,
2014-07-22,18386.0,8.337,,,,
2014-07-23,20612.0,7.351,,,,
2014-07-24,20448.0,8.164,,,,
2014-07-25,19971.0,7.383,,,,
2014-07-26,16000.0,6.914,,,,
2014-07-27,15621.0,7.374,,,,
2014-07-28,23384.0,7.644,,,,
2014-07-29,21797.0,7.374,,,,
2014-07-30,22092.0,7.946,,,,
2014-07-31,22160.0,8.155,,,,
2014-08-01,21585.0,7.377,,,,
2014-08-02,18531.0,6.531,,,,
2014-08-03,17187.0,6.893,,,,
2014-08-04,20609.0,7.014,,,,
2014-08-05,21073.0,7.982,,,,
2014-08-06,22471.0,8.345,,,,
2014-08-07,24516.0,8.707,,,,
2014-08-08,23126.0,7.74,,,,
2014-08-09,21820.0,6.772,,,,
2014-08-10,20814.0,7.498,,,,
2014-08-11,21388.0,7.74,,,,
2014-08-12,22551.0,8.103,,,,
2014-08-13,23725.0,11.852,,,,
2014-08-14,24887.0,9.796,,,,
2014-08-15,22725.0,9.554,,,,
2014-08-16,23487.0,9.554,,,,
2014-08-17,22608.0,8.224,,,,
2014-08-18,21867.0,10.159,,,,
2014-08-19,24106.0,8.587,,,,
2014-08-20,26924.0,8.587,,,,
2014-08-21,22176.0,7.861,,,,
2014-08-22,21222.0,7.982,,,,
2014-08-23,17389.0,7.982,,,,
2014-08-24,16318.0,7.982,,,,
2014-08-25,19062.0,7.377,,,,
2014-08-26,19596.0,7.498,,,,
2014-08-27,19625.0,7.498,,,,
2014-08-28,22229.0,7.377,,,,
2014-08-29,19838.0,7.135,,,,
2014-08-30,18905.0,7.377,,,,
2014-08-31,17226.0,7.74,,,,
2014-09-01,18661.0,9.07,,,,
2014-09-02,22901.0,7.982,,,,
2014-09-03,22113.0,8.103,,,,
2014-09-04,24968.0,8.345,,,,
2014-09-05,22368.0,8.345,,,,
2014-09-06,21053.0,7.377,,,,
2014-09-07,17730.0,7.498,,,,
2014-09-08,22751.0,8.103,,,,
2014-09-09,16169.0,9.07,,,,
2014-09-10,16616.0,10.763,,,,
2014-09-11,27367.0,12.094,,,,
2014-09-12,24097.0,9.07,,,,
2014-09-13,18209.0,6.893,,,,
2014-09-14,18671.0,8.103,,,,
2014-09-15,23392.0,8.224,,,,
2014-09-16,21176.0,7.498,,,,
2014-09-17,27946.0,7.619,,,,
2014-09-18,21135.0,7.619,,,,
2014-09-19,20775.0,9.675,,,,
2014-09-20,17607.0,7.377,,,,
2014-09-21,17026.0,7.498,,,,
2014-09-22,14984.0,7.982,,,,
2014-09-23,23489.0,8.707,,,,
2014-09-24,20675.0,10.159,,,,
2014-09-25,20757.0,8.466,,,,
2014-09-26,19512.0,7.982,,,,
2014-09-27,17202.0,7.014,,,,
2014-09-28,16636.0,7.619,,,,
2014-09-29,19660.0,8.828,,,,
2014-09-30,21073.0,8.345,,,,
2014-10-01,18636.0,7.415,,,,
2014-10-02,18380.0,7.943,,,,
2014-10-03,20207.0,8.366,,,,
2014-10-04,18214.0,8.332,,,,
2014-10-05,20031.0,10.132,,,,
2014-10-06,25065.0,11.256,,,,
2014-10-07,22543.0,9.785,,,,
2014-10-08,24408.0,8.592,,,,
2014-10-09,24075.0,8.86,,,,
2014-10-10,19090.0,8.064,,,,
2014-10-11,17107.0,7.717,,,,
2014-10-12,17072.0,7.268,,,,
2014-10-13,22018.0,8.03,,,,
2014-10-14,25804.0,8.929,,,,
2014-10-15,23992.0,9.076,,,,
2014-10-16,24445.0,8.064,,,,
2014-10-17,21491.0,7.623,,,,
2014-10-18,20572.0,7.502,,,,
2014-10-19,18259.0,7.0,,,,
2014-10-20,23312.0,6.853,,,,
2014-10-21,22499.0,6.974,,,,
2014-10-22,20348.0,7.328,,,,
2014-10-23,21036.0,7.709,,,,
2014-10-24,11147.0,6.558,,,,
2014-10-25,22449.0,6.316,,,,
2014-10-26,20090.0,7.094,,,,
2014-10-27,21632.0,6.619,,,,
2014-10-28,20173.0,7.234,,,,
2014-10-29,22081.0,7.181,,,,
2014-10-30,22855.0,6.8,,,,
2014-10-31,22906.0,5.944,,,,
2014-11-01,30263.0,6.759,,,,
2014-11-02,21408.0,7.106,,,,
2014-11-03,26060.0,7.279,,,,
2014-11-04,20992.0,7.106,,,,
2014-11-05,20871.0,6.933,,,,
2014-11-06,24348.0,7.973,,,,
2014-11-07,24244.0,7.453,,,,
2014-11-08,18964.0,7.106,,,,
2014-11-09,18949.0,7.626,,,,
2014-11-10,22516.0,8.319,,,,
2014-11-11,23156.0,7.799,,,,
2014-11-12,25601.0,9.532,,,,
2014-11-13,26798.0,9.879,,,,
2014-11-14,23449.0,7.973,,,,
2014-11-15,21104.0,8.319,,,,
2014-11-16,21652.0,8.146,,,,
2014-11-17,25728.0,7.973,,,,
2014-11-18,28238.0,8.666,,,,
2014-11-19,25117.0,8.146,,,,
2014-11-20,23707.0,7.106,,,,
2014-11-21,24577.0,7.106,,,,
2014-11-22,22344.0,7.279,,,,
2014-11-23,20544.0,6.066,,,,
2014-11-24,25545.0,7.106,,,,
2014-11-25,25985.0,7.106,,,,
2014-11-26,27929.0,6.759,,,,
2014-11-27,25790.0,6.586,,,,
2014-11-28,24830.0,6.933,,,,
2014-11-29,26555.0,6.239,,,,
2014-11-30,20117.0,6.759,,,,
2014-12-01,26508.0,7.799,,,,
2014-12-02,32744.0,7.626,,,,
2014-12-03,24990.0,7.626,,,,
2014-12-04,26370.0,6.759,,,,
2014-12-05,25043.0,6.586,,,,
2014-12-06,21503.0,5.893,,,,
2014-12-07,21983.0,7.453,,,,
2014-12-08,24899.0,7.279,,,,
2014-12-09,27224.0,7.453,,,,
2014-12-10,25421.0,7.626,,,,
2014-12-11,32162.0,10.399,,,,
2014-12-12,25383.0,9.359,,,,
2014-12-13,26584.0,7.453,,,,
2014-12-14,23579.0,7.799,,,,
2014-12-15,26094.0,7.626,,,,
2014-12-16,27622.0,8.666,,,,
2014-12-17,28350.0,8.319,,,,
2014-12-18,26969.0,8.146,,,,
2014-12-19,23574.0,7.626,,,,
2014-12-20,23524.0,7.626,,,,
2014-12-21,21411.0,8.146,,,,
2014-12-22,23172.0,7.626,,,,
2014-12-23,25504.0,7.626,,,,
2014-12-24,24192.0,6.586,,,,
2014-12-25,21216.0,6.933,,,,
2014-12-26,21728.0,8.493,,,,
2014-12-27,21543.0,17.332,,,,
2014-12-28,18427.0,7.279,,,,
2014-12-29,19605.0,6.933,,,,
2014-12-30,19477.0,6.759,,,,
2014-12-31,20017.0,6.933,,,,
2015-01-01,18681.0,6.703,,,,
2015-01-02,9385.0,7.625,,,,
2015-01-03,8342.5,7.736,,,,
2015-01-04,7300.0,9.266,,,,
2015-01-05,23092.0,9.439,,,,
2015-01-06,25041.0,10.401,,,,
2015-01-07,26987.0,8.122,,,,
2015-01-08,22546.0,7.562,,,,
2015-01-09,30439.0,8.595,,,,
2015-01-10,22162.0,7.949,,,,
2015-01-11,20760.0,6.876,,,,
2015-01-12,24861.0,7.16,,,,
2015-01-13,30086.0,9.383,,,,
2015-01-14,35414.0,13.69,,,,
2015-01-15,26417.0,12.017,,,,
2015-01-16,26448.0,9.983,,,,
2015-01-17,19187.0,8.437,,,,
2015-01-18,24812.0,7.633,,,,
2015-01-19,27548.0,7.191,,,,
2015-01-20,26982.0,7.42,,,,
2015-01-21,24660.0,8.122,,,,
2015-01-22,25882.0,8.193,,,,
2015-01-23,24058.0,7.365,,,,
2015-01-24,32718.0,7.42,,,,
2015-01-25,21312.0,7.12,,,,
2015-01-26,33929.0,10.629,,,,
2015-01-27,26135.0,9.139,,,,
2015-01-28,27422.0,8.351,,,,
2015-01-29,25184.0,8.564,,,,
2015-01-30,22919.0,7.578,,,,
2015-01-31,18146.0,6.545,,,,
2015-02-01,19445.0,7.53,,,,
2015-02-02,24761.0,6.677,,,,
2015-02-03,33419.0,7.103,,,,
2015-02-04,22995.0,6.961,,,,
2015-02-05,28935.0,7.814,,,,
2015-02-06,23289.0,7.53,,,,
2015-02-07,19540.0,8.524,,,,
2015-02-08,20792.0,8.382,,,,
2015-02-09,24642.0,8.382,,,,
2015-02-10,24331.0,8.098,,,,
2015-02-11,39339.0,7.53,,,,
2015-02-12,25742.0,7.388,,,,
2015-02-13,27697.0,7.103,,,,
