date,tweet_volume,trend,days_to_event_happen,event_title,event_votes,event_confidence
2016-03-16,1185.0,1.729,,,,
2016-03-17,1211.0,1.764,,,,
2016-03-18,1123.0,1.866,,,,
2016-03-19,943.0,1.446,,,,
2016-03-20,1304.0,1.366,,,,
2016-03-21,2233.0,1.488,,,,
2016-03-22,859.0,1.383,,,,
2016-03-23,944.0,1.432,,,,
2016-03-24,1982.0,1.276,,,,
2016-03-25,927.0,1.205,,,,
2016-03-26,712.0,1.19,,,,
2016-03-27,716.0,1.229,,,,
2016-03-28,1298.0,2.46,,,,
2016-03-29,1589.0,1.679,,,,
2016-03-30,1745.0,1.661,,,,
2016-03-31,988.0,1.617,,,,
2016-04-01,830.0,1.246,,,,
2016-04-02,743.0,1.26,,,,
2016-04-03,846.0,1.135,,,,
2016-04-04,1000.0,1.185,,,,
2016-04-05,1067.0,1.228,,,,
2016-04-06,967.0,1.238,,,,
2016-04-07,2284.0,1.14,,,,
2016-04-08,862.0,1.209,,,,
2016-04-09,759.0,1.073,,,,
2016-04-10,1073.0,1.502,,,,
2016-04-11,891.0,1.036,,,,
2016-04-12,1150.0,1.363,,,,
2016-04-13,907.0,1.177,,,,
2016-04-14,978.0,1.153,,,,
2016-04-15,1139.0,0.967,,,,
2016-04-16,701.0,0.842,,,,
2016-04-17,781.0,0.812,,,,
2016-04-18,1014.0,1.121,,,,
2016-04-19,962.0,1.015,,,,
2016-04-20,984.0,1.084,,,,
2016-04-21,883.0,1.14,,,,
2016-04-22,924.0,0.967,,,,
2016-04-23,607.0,0.823,,,,
2016-04-24,543.0,0.81,,,,
2016-04-25,923.0,0.911,,,,
2016-04-26,894.0,0.916,,,,
2016-04-27,735.0,0.999,,,,
2016-04-28,935.0,0.879,,,,
2016-04-29,916.0,0.759,,,,
2016-04-30,951.0,1.252,,,,
2016-05-01,773.0,1.038,,,,
2016-05-02,1114.0,0.973,,,,
2016-05-03,2628.0,1.029,,,,
2016-05-04,1261.0,1.121,,,,
2016-05-05,1181.0,1.066,,,,
2016-05-06,1085.0,1.094,,,,
2016-05-07,703.0,1.094,,,,
2016-05-08,856.0,1.261,,,,
2016-05-09,1110.0,0.946,,,,
2016-05-10,970.0,1.001,,,,
2016-05-11,1078.0,1.085,,,,
2016-05-12,905.0,1.261,,,,
2016-05-13,946.0,1.205,,,,
2016-05-14,764.0,1.149,,,,
2016-05-15,1009.0,1.177,,,,
2016-05-16,1588.0,1.317,,,,
2016-05-17,1346.0,1.317,,,,
2016-05-18,1636.0,2.179,,,,
2016-05-19,1929.0,2.206,,,,
2016-05-20,1638.0,2.354,,,,
2016-05-21,977.0,1.808,,,,
2016-05-22,1162.0,1.724,,,,
2016-05-23,1236.0,1.52,,,,
2016-05-24,1407.0,1.808,,,,
2016-05-25,1470.0,2.123,,,,
2016-05-26,1380.0,1.947,,,,
2016-05-27,1171.0,1.78,,,,
2016-05-28,1714.0,2.011,,,,
2016-05-29,1409.0,1.557,,,,
2016-05-30,3305.0,1.585,,,,
2016-05-31,1465.0,1.576,,,,
2016-06-01,2023.0,1.634,,,,
2016-06-02,1294.0,1.77,,,,
2016-06-03,1188.0,1.673,,,,
2016-06-04,844.0,1.413,,,,
2016-06-05,1091.0,1.26,,,,
2016-06-06,1072.0,1.414,,,,
2016-06-07,1500.0,1.634,,,,
2016-06-08,1673.0,1.371,,,,
2016-06-09,1573.0,1.432,,,,
2016-06-10,1324.0,1.414,,,,
2016-06-11,1086.0,0.903,,,,
2016-06-12,1200.0,1.45,,,,
2016-06-13,1766.0,2.145,,,,
2016-06-14,2136.0,2.125,,,,
2016-06-15,1780.0,2.162,,,,
2016-06-16,2106.0,2.243,,,,
2016-06-17,6219.0,5.457,,,,
2016-06-18,4386.0,4.862,,,,
2016-06-19,3235.0,3.459,,,,
2016-06-20,2649.0,3.289,,,,
2016-06-21,2523.0,2.77,,,,
2016-06-22,2402.0,2.784,,,,
2016-06-23,1877.0,1.99,,,,
2016-06-24,1896.0,2.008,,,,
2016-06-25,1315.0,1.616,,,,
2016-06-26,1175.0,1.278,,,,
2016-06-27,1425.0,1.488,,,,
2016-06-28,1512.0,1.678,,,,
2016-06-29,1945.0,1.788,,,,
2016-06-30,1303.0,1.734,,,,
2016-07-01,1241.0,1.443,,,,
