date,tweet_volume,trend,days_to_event_happen,event_title,event_votes,event_confidence
2014-04-09,502.0,0.598,,,,
2014-04-10,961.0,0.643,,,,
2014-04-11,954.0,0.601,,,,
2014-04-12,454.0,0.405,,,,
2014-04-13,815.0,0.441,,,,
2014-04-14,961.0,0.43,,,,
2014-04-15,887.0,0.539,,,,
2014-04-16,1022.0,0.488,,,,
2014-04-17,823.0,0.483,,,,
2014-04-18,881.0,0.52,,,,
2014-04-19,813.0,0.43,,,,
2014-04-20,884.0,0.509,,,,
2014-04-21,835.0,0.383,,,,
2014-04-22,990.0,0.354,,,,
2014-04-23,938.0,0.503,,,,
2014-04-24,994.0,0.419,,,,
2014-04-25,847.0,0.422,,,,
2014-04-26,779.0,0.495,,,,
2014-04-27,682.0,0.396,,,,
2014-04-28,952.0,0.522,,,,
2014-04-29,872.0,0.528,,,,
2014-04-30,909.0,0.52,,,,
2014-05-01,972.0,0.483,,,,
2014-05-02,771.0,0.365,,,,
2014-05-03,801.0,0.405,,,,
2014-05-04,825.0,0.428,,,,
2014-05-05,1018.0,0.357,,,,
2014-05-06,970.0,0.43,,,,
2014-05-07,903.0,0.342,,,,
2014-05-08,809.0,0.33,,,,
2014-05-09,1092.0,0.365,,,,
2014-05-10,1764.0,0.231,,,,
2014-05-11,714.0,0.335,,,,
2014-05-12,890.0,0.335,,,,
2014-05-13,930.0,0.375,,,,
2014-05-14,2369.0,0.305,,,,
2014-05-15,2402.0,0.289,,,,
2014-05-16,1039.0,0.32,,,,
2014-05-17,1099.0,0.405,,,,
2014-05-18,1159.0,0.305,,,,
2014-05-19,826.0,0.272,,,,
2014-05-20,1689.0,0.367,,,,
2014-05-21,1213.0,0.398,,,,
2014-05-22,1343.0,0.443,,,,
2014-05-23,1294.0,0.345,,,,
2014-05-24,1269.0,0.367,,,,
2014-05-25,972.0,0.39,,,,
2014-05-26,1341.0,0.39,,,,
2014-05-27,1133.0,0.337,,,,
2014-05-28,1197.0,0.387,,,,
2014-05-29,1179.0,0.375,,,,
2014-05-30,983.0,0.483,,,,
2014-05-31,1074.0,0.461,,,,
2014-06-01,771.0,0.464,,,,
2014-06-02,807.0,0.362,,,,
2014-06-03,1765.0,0.423,,,,
2014-06-04,2057.0,0.327,,,,
2014-06-05,818.0,0.323,,,,
2014-06-06,1189.0,0.296,,,,
2014-06-07,560.0,0.323,,,,
2014-06-08,664.0,0.29,,,,
2014-06-09,906.0,0.28,,,,
2014-06-10,906.0,0.334,,,,
2014-06-11,1145.0,0.301,,,,
2014-06-12,657.0,0.266,,,,
2014-06-13,604.0,0.325,,,,
2014-06-14,930.0,0.331,,,,
2014-06-15,899.0,0.319,,,,
2014-06-16,799.0,0.356,,,,
2014-06-17,701.0,0.326,,,,
2014-06-18,549.0,0.357,,,,
2014-06-19,640.0,0.324,,,,
2014-06-20,620.0,0.25,,,,
2014-06-21,684.0,0.258,,,,
2014-06-22,542.0,0.309,,,,
2014-06-23,629.0,0.277,,,,
2014-06-24,680.0,0.224,,,,
2014-06-25,621.0,0.234,,,,
2014-06-26,583.0,0.231,,,,
2014-06-27,616.0,0.247,,,,
2014-06-28,486.0,0.26,,,,
2014-06-29,482.0,0.292,,,,
2014-06-30,673.0,0.305,,,,
2014-07-01,672.0,0.311,,,,
2014-07-02,843.0,0.386,,,,
2014-07-03,692.0,0.331,,,,
2014-07-04,564.0,0.322,,,,
2014-07-05,600.0,0.334,,,,
2014-07-06,581.0,0.33,,,,
2014-07-07,923.0,0.296,,,,
2014-07-08,604.0,0.272,,,,
2014-07-09,651.0,0.223,,,,
2014-07-10,617.0,0.265,,,,
2014-07-11,530.0,0.239,,,,
2014-07-12,518.0,0.236,,,,
2014-07-13,863.0,0.202,,,,
2014-07-14,1075.0,0.232,,,,
2014-07-15,840.0,0.246,,,,
2014-07-16,2226.0,0.279,,,,
2014-07-17,1756.0,0.29,,,,
2014-07-18,692.0,0.228,,,,
2014-07-19,482.0,0.281,,,,
2014-07-20,507.0,0.307,,,,
2014-07-21,1267.0,0.254,,,,
2014-07-22,693.0,0.246,,,,
2014-07-23,569.0,0.217,,,,
2014-07-24,584.0,0.279,,,,
2014-07-25,826.0,0.272,,,,
2014-07-26,449.0,0.228,,,,
2014-07-27,410.0,0.279,,,,
2014-07-28,550.0,0.289,,,,
2014-07-29,551.0,0.247,,,,
2014-07-30,543.0,0.173,,,,
2014-07-31,509.0,0.239,,,,
2014-08-01,439.0,0.274,,,,
2014-08-02,384.0,0.235,,,,
2014-08-03,418.0,0.252,,,,
2014-08-04,565.0,0.232,,,,
2014-08-05,533.0,0.242,,,,
2014-08-06,554.0,0.25,,,,
2014-08-07,635.0,0.361,,,,
2014-08-08,682.0,0.291,,,,
2014-08-09,477.0,0.235,,,,
2014-08-10,438.0,0.229,,,,
2014-08-11,478.0,0.321,,,,
2014-08-12,777.0,0.315,,,,
2014-08-13,787.0,0.319,,,,
2014-08-14,886.0,0.207,,,,
2014-08-15,6955.0,0.253,,,,
2014-08-16,619.0,0.219,,,,
2014-08-17,514.0,0.313,,,,
2014-08-18,698.0,0.34,,,,
2014-08-19,793.0,0.321,,,,
2014-08-20,737.0,0.276,,,,
2014-08-21,728.0,0.311,,,,
2014-08-22,588.0,0.262,,,,
2014-08-23,464.0,0.272,,,,
2014-08-24,477.0,0.264,,,,
2014-08-25,520.0,0.262,,,,
2014-08-26,607.0,0.252,,,,
2014-08-27,592.0,0.2,,,,
2014-08-28,834.0,0.239,,,,
2014-08-29,959.0,0.154,,,,
2014-08-30,481.0,0.222,,,,
2014-08-31,760.0,0.277,,,,
2014-09-01,603.0,0.209,,,,
2014-09-02,536.0,0.216,,,,
2014-09-03,575.0,0.223,,,,
2014-09-04,815.0,0.227,,,,
2014-09-05,645.0,0.175,,,,
2014-09-06,531.0,0.237,,,,
2014-09-07,507.0,0.227,,,,
2014-09-08,463.0,0.159,,,,
2014-09-09,297.0,0.197,,,,
2014-09-10,338.0,0.204,,,,
2014-09-11,815.0,0.24,,,,
2014-09-12,758.0,0.274,,,,
2014-09-13,676.0,0.188,,,,
2014-09-14,643.0,0.195,,,,
2014-09-15,797.0,0.177,,,,
2014-09-16,635.0,0.204,,,,
2014-09-17,650.0,0.218,,,,
2014-09-18,560.0,0.201,,,,
2014-09-19,572.0,0.206,,,,
2014-09-20,546.0,0.177,,,,
2014-09-21,616.0,0.184,,,,
2014-09-22,454.0,0.189,,,,
2014-09-23,658.0,0.178,,,,
2014-09-24,724.0,0.198,,,,
2014-09-25,708.0,0.219,,,,
2014-09-26,731.0,0.187,,,,
2014-09-27,721.0,0.175,,,,
2014-09-28,520.0,0.181,,,,
2014-09-29,614.0,0.187,,,,
2014-09-30,676.0,0.19,,,,
2014-10-01,524.0,0.182,,,,
2014-10-02,518.0,0.154,,,,
2014-10-03,474.0,0.134,,,,
2014-10-04,474.0,0.198,,,,
2014-10-05,538.0,0.207,,,,
2014-10-06,563.0,0.27,,,,
2014-10-07,517.0,0.274,,,,
2014-10-08,548.0,0.166,,,,
2014-10-09,531.0,0.17,,,,
2014-10-10,536.0,0.181,,,,
2014-10-11,840.0,0.196,,,,
2014-10-12,449.0,0.166,,,,
2014-10-13,805.0,0.161,,,,
2014-10-14,801.0,0.175,,,,
2014-10-15,626.0,0.226,,,,
2014-10-16,1842.0,0.14,,,,
2014-10-17,897.0,0.178,,,,
2014-10-18,885.0,0.118,,,,
2014-10-19,629.0,0.21,,,,
2014-10-20,727.0,0.15,,,,
2014-10-21,980.0,0.127,,,,
2014-10-22,674.0,0.178,,,,
2014-10-23,761.0,0.0825,,,,
2014-10-24,609.0,0.124,,,,
2014-10-25,1043.0,0.118,,,,
2014-10-26,949.0,0.155,,,,
2014-10-27,939.0,0.15,,,,
2014-10-28,981.0,0.126,,,,
2014-10-29,742.0,0.179,,,,
2014-10-30,1291.0,0.112,,,,
2014-10-31,690.0,0.117,,,,
2014-11-01,607.0,0.0967,,,,
2014-11-02,1349.0,0.171,,,,
2014-11-03,728.0,0.136,,,,
2014-11-04,776.0,0.115,,,,
2014-11-05,612.0,0.176,,,,
2014-11-06,970.0,0.152,,,,
2014-11-07,802.0,0.157,,,,
2014-11-08,730.0,0.186,,,,
2014-11-09,884.0,0.168,,,,
2014-11-10,555.0,0.183,,,,
2014-11-11,627.0,0.113,,,,
2014-11-12,1409.0,0.199,,,,
2014-11-13,671.0,0.179,,,,
2014-11-14,733.0,0.215,,,,
2014-11-15,671.0,0.142,,,,
2014-11-16,805.0,0.163,,,,
2014-11-17,845.0,0.159,,,,
2014-11-18,800.0,0.151,,,,
2014-11-19,861.0,0.176,,,,
2014-11-20,830.0,0.13,,,,
2014-11-21,756.0,0.181,,,,
2014-11-22,677.0,0.184,,,,
2014-11-23,578.0,0.104,,,,
2014-11-24,743.0,0.106,,,,
2014-11-25,594.0,0.0942,,,,
2014-11-26,491.0,0.117,,,,
2014-11-27,543.0,0.101,,,,
2014-11-28,552.0,0.095,,,,
2014-11-29,535.0,0.143,,,,
2014-11-30,395.0,0.158,,,,
2014-12-01,771.0,0.181,,,,
2014-12-02,670.0,0.16,,,,
2014-12-03,575.0,0.155,,,,
2014-12-04,554.0,0.139,,,,
2014-12-05,549.0,0.115,,,,
2014-12-06,447.0,0.189,,,,
2014-12-07,611.0,0.184,,,,
2014-12-08,541.0,0.164,,,,
2014-12-09,809.0,0.121,,,,
2014-12-10,1227.0,0.142,,,,
2014-12-11,1306.0,0.147,,,,
2014-12-12,635.0,0.15,,,,
2014-12-13,723.0,0.155,,,,
2014-12-14,800.0,0.131,,,,
2014-12-15,894.0,0.139,,,,
2014-12-16,1037.0,0.178,,,,
2014-12-17,948.0,0.174,,,,
2014-12-18,1056.0,0.123,,,,
2014-12-19,636.0,0.166,,,,
2014-12-20,510.0,0.11,,,,
2014-12-21,535.0,0.178,,,,
2014-12-22,612.0,0.176,,,,
2014-12-23,582.0,0.128,,,,
2014-12-24,460.0,0.148,,,,
2014-12-25,530.0,0.145,,,,
2014-12-26,451.0,0.15,,,,
2014-12-27,490.0,0.13,,,,
2014-12-28,829.0,0.147,,,,
2014-12-29,507.0,0.154,,,,
2014-12-30,491.0,0.139,,,,
2014-12-31,543.0,0.142,,,,
2015-01-01,593.0,0.172,,,,
2015-01-02,395.0,0.102,,,,
2015-01-03,348.0,0.162,,,,
2015-01-04,301.0,0.0962,,,,
2015-01-05,613.0,0.174,,,,
2015-01-06,1538.0,0.105,,,,
2015-01-07,2125.0,0.118,,,,
2015-01-08,1477.0,0.162,,,,
2015-01-09,2967.0,0.125,,,,
2015-01-10,3071.0,0.192,,,,
2015-01-11,1298.0,0.207,,,,
2015-01-12,456.0,0.126,,,,
2015-01-13,460.0,0.141,,,,
2015-01-14,418.0,0.157,,,,
2015-01-15,413.0,0.152,,,,
2015-01-16,382.0,0.122,,,,
2015-01-17,541.0,0.153,,,,
2015-01-18,434.0,0.123,,,,
2015-01-19,764.0,0.137,,,,
2015-01-20,578.0,0.0875,,,,
2015-01-21,702.0,0.145,,,,
2015-01-22,537.0,0.0756,,,,
2015-01-23,619.0,0.105,,,,
2015-01-24,551.0,0.122,,,,
