,Date,Low,High,Close,Open
999,2021-03-22,308424.3177,320159.498889,318511.818586,314246.402708
998,2021-03-21,303827.787723,321027.25563,314246.402708,318347.439586
997,2021-03-20,316814.057481,328100.484,318359.822804,317963.833793
996,2021-03-19,308324.265682,325843.0124,317963.833793,315832.3313
995,2021-03-18,312446.1239,329470.144621,315871.563088,322801.836521
994,2021-03-17,296559.934617,323140.238089,322801.836521,311776.224682
993,2021-03-16,291889.653262,311981.972397,311776.279475,304677.57236
992,2021-03-15,299169.78,332228.752999,304677.57236,323147.635144
991,2021-03-14,323096.677654,338208.641847,323105.060983,335269.490534
990,2021-03-13,307269.445639,338861.8292,335269.545327,313534.970396
989,2021-03-12,301157.889212,318246.017743,313534.970396,316556.420795
988,2021-03-11,297377.062626,318621.295,316556.475588,306027.617087
987,2021-03-10,290430.2965,314444.369817,306027.617087,300674.779331
986,2021-03-09,283769.714213,300786.1735,300728.64085,286979.323774
985,2021-03-08,269990.699331,287130.552454,286979.268981,279220.251423
984,2021-03-07,267840.23846,281910.149379,279289.509775,267840.23846
983,2021-03-06,257910.651,269581.56,267840.23846,267098.396033
982,2021-03-05,253691.59,270945.522149,267125.244603,265056.151337
981,2021-03-04,260266.75,283684.620684,265056.151337,275879.303041
980,2021-03-03,263558.220303,288430.352,275879.303041,265398.717173
979,2021-03-02,257787.91468,275060.86,265420.853545,271750.047768
978,2021-03-01,246297.439029,272814.347,271702.213479,247303.328923
977,2021-02-28,235609.9,255546.113878,247311.821838,252615.839031
976,2021-02-27,246568.5,265165.2442,252630.961899,253564.908584
975,2021-02-26,241674.279654,265330.225923,253564.853791,257931.088789
974,2021-02-25,255742.711162,285152.251189,257931.088789,272190.857453
973,2021-02-24,257465.129117,281498.982707,272190.80266,267888.4563
972,2021-02-23,245979.804008,296888.144687,267888.4563,296362.570231
971,2021-02-22,260935.2246,315106.159671,296362.570231,314579.489355
970,2021-02-21,303978.358887,319732.49704,314558.777601,305970.632367
969,2021-02-20,295136.631649,316158.130478,305970.632367,306325.7458
968,2021-02-19,277856.39886,308857.1824,306325.7458,282472.215973
967,2021-02-18,278906.78067,287827.629,282472.16118,285568.349231
966,2021-02-17,268195.2971,288313.862082,285579.527003,269216.912585
965,2021-02-16,257546.935066,277741.223974,269216.912585,262519.29023
964,2021-02-15,249696.029647,268545.533956,262519.29023,266186.969271
963,2021-02-14,257604.741681,272361.921199,266172.284747,258386.144654
962,2021-02-13,253157.522629,263828.295,258369.213617,259160.753295
961,2021-02-12,252732.7125,268407.89394,259102.94668,262834.678738
960,2021-02-11,241056.433786,266726.29677,262839.336143,245514.173094
959,2021-02-10,239593.3511,259225.683,245514.173094,254351.407306
958,2021-02-09,246355.300437,263785.501667,254351.407306,254101.770398
957,2021-02-08,208152.524977,256400.829885,254101.825191,212573.224217
956,2021-02-07,204657.3343,217528.21,212573.224217,214684.508093
955,2021-02-06,209396.600042,224407.525943,214717.000342,209798.671076
954,2021-02-05,200378.001,209912.640516,209803.712032,202386.986345
953,2021-02-04,198142.172635,212094.223811,202387.041138,206132.690618
952,2021-02-03,193761.088734,206364.848559,206125.074391,194365.619903
951,2021-02-02,183107.2474,197168.939369,194330.168832,183650.191237
950,2021-02-01,176960.349488,190226.337511,183701.039141,181326.310521
949,2021-01-31,176278.231431,188173.901317,181326.365314,187736.653177
948,2021-01-30,179858.0225,191408.3869,187736.598384,187645.642004
